data_id,language,form,age,gender,mom_ed,comprehension,production
86930,English (British),TEDS Twos,23,Female,Graduate,43,43
86931,English (British),TEDS Twos,23,Male,College,33,33
86932,English (British),TEDS Twos,23,Male,College,27,27
86933,English (British),TEDS Twos,24,Male,Secondary,8,8
86934,English (British),TEDS Twos,24,Female,Secondary,15,15
86935,English (British),TEDS Twos,24,Male,Some Secondary,27,27
86936,English (British),TEDS Twos,24,Male,Some Secondary,25,25
86937,English (British),TEDS Twos,24,Female,Graduate,74,74
86938,English (British),TEDS Twos,25,Male,Graduate,84,84
86939,English (British),TEDS Twos,24,Female,Some Secondary,63,63
86940,English (British),TEDS Twos,24,Male,Some Secondary,14,14
86941,English (British),TEDS Twos,24,Female,Some College,65,65
86942,English (British),TEDS Twos,24,Female,Some College,62,62
86943,English (British),TEDS Twos,24,Female,Primary,17,17
86944,English (British),TEDS Twos,24,Female,Primary,17,17
86945,English (British),TEDS Twos,23,Male,Primary,34,34
86946,English (British),TEDS Twos,23,Male,Primary,36,36
86947,English (British),TEDS Twos,24,Male,None,21,21
86948,English (British),TEDS Twos,24,Male,None,21,21
86949,English (British),TEDS Twos,24,Male,None,45,45
86950,English (British),TEDS Twos,24,Female,None,40,40
86951,English (British),TEDS Twos,24,Female,Primary,60,60
86952,English (British),TEDS Twos,24,Male,Primary,56,56
86953,English (British),TEDS Twos,24,Female,Secondary,84,84
86954,English (British),TEDS Twos,24,Female,Secondary,92,92
86955,English (British),TEDS Twos,24,Female,Some Secondary,48,48
86956,English (British),TEDS Twos,24,Female,Some Secondary,47,47
86957,English (British),TEDS Twos,24,Male,Some Secondary,67,67
86958,English (British),TEDS Twos,23,Male,Some Secondary,64,64
86959,English (British),TEDS Twos,24,Male,None,24,24
86960,English (British),TEDS Twos,24,Male,None,35,35
86961,English (British),TEDS Twos,23,Female,Primary,20,20
86962,English (British),TEDS Twos,23,Female,Primary,20,20
86963,English (British),TEDS Twos,23,Male,Some Secondary,10,10
86964,English (British),TEDS Twos,23,Female,Some Secondary,13,13
86965,English (British),TEDS Twos,24,Female,College,50,50
86966,English (British),TEDS Twos,24,Male,College,61,61
86967,English (British),TEDS Twos,24,Female,Graduate,69,69
86968,English (British),TEDS Twos,24,Female,Graduate,67,67
86969,English (British),TEDS Twos,23,Female,Graduate,61,61
86970,English (British),TEDS Twos,23,Female,Graduate,61,61
86971,English (British),TEDS Twos,24,Female,NA,8,8
86972,English (British),TEDS Twos,24,Male,NA,9,9
86973,English (British),TEDS Twos,24,Male,College,45,45
86974,English (British),TEDS Twos,24,Male,College,44,44
86975,English (British),TEDS Twos,24,Male,Secondary,9,9
86976,English (British),TEDS Twos,24,Male,Secondary,10,10
86977,English (British),TEDS Twos,25,Female,Primary,100,100
86978,English (British),TEDS Twos,24,Male,Primary,98,98
86979,English (British),TEDS Twos,24,Female,Some Secondary,63,63
86980,English (British),TEDS Twos,24,Male,Some Secondary,34,34
86981,English (British),TEDS Twos,24,Male,College,70,70
86982,English (British),TEDS Twos,24,Female,College,74,74
86983,English (British),TEDS Twos,23,Male,None,46,46
86984,English (British),TEDS Twos,23,Male,None,47,47
86985,English (British),TEDS Twos,24,Male,College,41,41
86986,English (British),TEDS Twos,24,Male,College,44,44
86987,English (British),TEDS Twos,24,Female,NA,39,39
86988,English (British),TEDS Twos,24,Female,NA,37,37
86989,English (British),TEDS Twos,24,Female,Secondary,66,66
86990,English (British),TEDS Twos,24,Female,Secondary,52,52
86991,English (British),TEDS Twos,24,Female,Some College,61,61
86992,English (British),TEDS Twos,24,Male,Some College,63,63
86993,English (British),TEDS Twos,26,Female,Secondary,74,74
86994,English (British),TEDS Twos,26,Female,Secondary,73,73
86995,English (British),TEDS Twos,24,Female,Secondary,19,19
86996,English (British),TEDS Twos,24,Male,Secondary,7,7
86997,English (British),TEDS Twos,24,Female,Primary,24,24
86998,English (British),TEDS Twos,24,Female,Primary,48,48
86999,English (British),TEDS Twos,22,Male,Some Secondary,19,19
87000,English (British),TEDS Twos,22,Female,Some Secondary,29,29
87001,English (British),TEDS Twos,24,Male,Primary,58,58
87002,English (British),TEDS Twos,24,Male,Primary,2,2
87003,English (British),TEDS Twos,24,Male,Some Secondary,37,37
87004,English (British),TEDS Twos,24,Male,Some Secondary,32,32
87005,English (British),TEDS Twos,24,Male,Some Secondary,53,53
87006,English (British),TEDS Twos,24,Female,Some Secondary,35,35
87007,English (British),TEDS Twos,25,Female,Some Secondary,8,8
87008,English (British),TEDS Twos,25,Female,Some Secondary,10,10
87009,English (British),TEDS Twos,23,Male,Some Secondary,28,28
87010,English (British),TEDS Twos,23,Female,Some Secondary,22,22
87011,English (British),TEDS Twos,24,Female,Some Secondary,7,7
87012,English (British),TEDS Twos,24,Male,Some Secondary,9,9
87013,English (British),TEDS Twos,24,Male,College,33,33
87014,English (British),TEDS Twos,24,Male,College,28,28
87015,English (British),TEDS Twos,24,Male,Graduate,44,44
87016,English (British),TEDS Twos,24,Male,Graduate,43,43
87017,English (British),TEDS Twos,24,Female,None,42,42
87018,English (British),TEDS Twos,24,Male,None,47,47
87019,English (British),TEDS Twos,24,Male,Primary,34,34
87020,English (British),TEDS Twos,24,Male,Primary,7,7
87021,English (British),TEDS Twos,24,Male,Primary,69,69
87022,English (British),TEDS Twos,24,Female,Primary,83,83
87023,English (British),TEDS Twos,24,Male,Some Secondary,62,62
87024,English (British),TEDS Twos,24,Male,Some Secondary,59,59
87025,English (British),TEDS Twos,24,Female,Some College,38,38
87026,English (British),TEDS Twos,24,Male,Some College,43,43
87027,English (British),TEDS Twos,26,Male,Some Secondary,54,54
87028,English (British),TEDS Twos,26,Female,Some Secondary,77,77
87029,English (British),TEDS Twos,24,Female,Some College,46,46
87030,English (British),TEDS Twos,24,Female,Some College,46,46
87031,English (British),TEDS Twos,23,Male,Some Secondary,41,41
87032,English (British),TEDS Twos,23,Female,Some Secondary,46,46
87033,English (British),TEDS Twos,24,Female,Secondary,46,46
87034,English (British),TEDS Twos,24,Female,Secondary,37,37
87035,English (British),TEDS Twos,24,Female,Secondary,38,38
87036,English (British),TEDS Twos,24,Male,Secondary,35,35
87037,English (British),TEDS Twos,24,Male,College,34,34
87038,English (British),TEDS Twos,24,Female,College,28,28
87039,English (British),TEDS Twos,24,Male,Some Secondary,10,10
87040,English (British),TEDS Twos,24,Male,Some Secondary,9,9
87041,English (British),TEDS Twos,23,Male,Some Secondary,27,27
87042,English (British),TEDS Twos,23,Male,Some Secondary,22,22
87043,English (British),TEDS Twos,24,Male,Secondary,46,46
87044,English (British),TEDS Twos,24,Female,Secondary,62,62
87045,English (British),TEDS Twos,24,Male,None,15,15
87046,English (British),TEDS Twos,24,Female,None,13,13
87047,English (British),TEDS Twos,24,Female,Some Secondary,18,18
87048,English (British),TEDS Twos,24,Female,Some Secondary,16,16
87049,English (British),TEDS Twos,25,Female,Primary,0,0
87050,English (British),TEDS Twos,25,Female,Primary,30,30
87051,English (British),TEDS Twos,23,Male,Some Secondary,21,21
87052,English (British),TEDS Twos,23,Male,Some Secondary,19,19
87053,English (British),TEDS Twos,23,Male,Some Secondary,16,16
87054,English (British),TEDS Twos,23,Male,Some Secondary,17,17
87055,English (British),TEDS Twos,24,Male,Some Secondary,59,59
87056,English (British),TEDS Twos,24,Female,Some Secondary,0,0
87057,English (British),TEDS Twos,23,Female,Primary,43,43
87058,English (British),TEDS Twos,24,Female,Primary,41,41
87059,English (British),TEDS Twos,24,Female,Some Secondary,46,46
87060,English (British),TEDS Twos,24,Female,Some Secondary,44,44
87061,English (British),TEDS Twos,24,Female,Some Secondary,57,57
87062,English (British),TEDS Twos,24,Female,Some Secondary,61,61
87063,English (British),TEDS Twos,23,Female,None,56,56
87064,English (British),TEDS Twos,23,Male,None,53,53
87065,English (British),TEDS Twos,24,Male,None,21,21
87066,English (British),TEDS Twos,24,Male,None,16,16
87067,English (British),TEDS Twos,24,Female,Secondary,38,38
87068,English (British),TEDS Twos,24,Female,Secondary,35,35
87069,English (British),TEDS Twos,24,Female,Primary,16,16
87070,English (British),TEDS Twos,24,Female,Primary,17,17
87071,English (British),TEDS Twos,24,Female,Primary,45,45
87072,English (British),TEDS Twos,24,Female,Primary,40,40
87073,English (British),TEDS Twos,27,Male,Some Secondary,51,51
87074,English (British),TEDS Twos,29,Male,Some Secondary,52,52
87075,English (British),TEDS Twos,23,Female,Graduate,15,15
87076,English (British),TEDS Twos,23,Female,Graduate,17,17
87077,English (British),TEDS Twos,24,Female,Some Secondary,68,68
87078,English (British),TEDS Twos,24,Female,Some Secondary,61,61
87079,English (British),TEDS Twos,24,Male,College,55,55
87080,English (British),TEDS Twos,24,Female,College,74,74
87081,English (British),TEDS Twos,23,Male,Some Secondary,40,40
87082,English (British),TEDS Twos,23,Male,Some Secondary,35,35
87083,English (British),TEDS Twos,24,Male,Graduate,42,42
87084,English (British),TEDS Twos,24,Male,Graduate,44,44
87085,English (British),TEDS Twos,26,Male,Some Secondary,54,54
87086,English (British),TEDS Twos,26,Male,Some Secondary,50,50
87087,English (British),TEDS Twos,24,Female,Secondary,33,33
87088,English (British),TEDS Twos,24,Male,Secondary,0,0
87089,English (British),TEDS Twos,24,Male,Some Secondary,96,96
87090,English (British),TEDS Twos,24,Male,Some Secondary,57,57
87091,English (British),TEDS Twos,24,Male,Secondary,45,45
87092,English (British),TEDS Twos,24,Female,Secondary,51,51
87093,English (British),TEDS Twos,24,Female,Some Secondary,71,71
